Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,14,,
Data,0,file_id,type,"4",,time_created,"1059019954",,manufacturer,"23",,product,"42",,product_name,"Suunto 9 Peak",,
Definition,0,developer_data_id,developer_data_index,1,,application_id,16,,,,,,,,,,,
Data,2,record,timestamp,"1059012896",s,distance,"24.0",m,altitude,"142.0",m,cadence,"48",rpm,speed,"1.36",m/s,temperature,"35",C,vertical_speed,"0.02",m/s,enhanced_altitude,"142.0",m,enhanced_speed,"1.36",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012897",s,distance,"26.0",m,heart_rate,"90",bpm,altitude,"142.0",m,cadence,"48",rpm,speed,"1.42",m/s,temperature,"35",C,vertical_speed,"0.02",m/s,enhanced_altitude,"142.0",m,enhanced_speed,"1.42",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012898",s,distance,"27.0",m,altitude,"142.20000000000005",m,cadence,"48",rpm,speed,"1.42",m/s,temperature,"35",C,vertical_speed,"0.02",m/s,enhanced_altitude,"142.20000000000005",m,enhanced_speed,"1.42",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012899",s,distance,"28.0",m,heart_rate,"90",bpm,altitude,"142.20000000000005",m,cadence,"48",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.04",m/s,enhanced_altitude,"142.20000000000005",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012900",s,distance,"29.0",m,heart_rate,"92",bpm,altitude,"142.39999999999998",m,cadence,"48",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.04",m/s,enhanced_altitude,"142.39999999999998",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012901",s,distance,"31.0",m,heart_rate,"94",bpm,altitude,"142.60000000000002",m,cadence,"48",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.04",m/s,enhanced_altitude,"142.60000000000002",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012902",s,distance,"32.0",m,heart_rate,"94",bpm,altitude,"142.60000000000002",m,cadence,"49",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.06",m/s,enhanced_altitude,"142.60000000000002",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012903",s,distance,"34.0",m,heart_rate,"94",bpm,altitude,"142.79999999999995",m,cadence,"49",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.06",m/s,enhanced_altitude,"142.79999999999995",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012904",s,distance,"35.0",m,heart_rate,"95",bpm,altitude,"143.0",m,cadence,"49",rpm,speed,"1.4",m/s,temperature,"35",C,vertical_speed,"0.06",m/s,enhanced_altitude,"143.0",m,enhanced_speed,"1.4",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012905",s,distance,"37.0",m,heart_rate,"95",bpm,altitude,"143.0",m,cadence,"50",rpm,speed,"1.44",m/s,temperature,"35",C,vertical_speed,"0.06",m/s,enhanced_altitude,"143.0",m,enhanced_speed,"1.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012906",s,distance,"39.0",m,heart_rate,"93",bpm,altitude,"143.20000000000005",m,cadence,"50",rpm,speed,"1.44",m/s,temperature,"35",C,vertical_speed,"0.08",m/s,enhanced_altitude,"143.20000000000005",m,enhanced_speed,"1.44",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012907",s,distance,"40.0",m,heart_rate,"94",bpm,altitude,"143.39999999999998",m,cadence,"50",rpm,speed,"1.46",m/s,temperature,"35",C,vertical_speed,"0.08",m/s,enhanced_altitude,"143.39999999999998",m,enhanced_speed,"1.46",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012908",s,distance,"42.0",m,heart_rate,"96",bpm,altitude,"143.39999999999998",m,cadence,"55",rpm,speed,"1.46",m/s,temperature,"35",C,vertical_speed,"0.08",m/s,enhanced_altitude,"143.39999999999998",m,enhanced_speed,"1.46",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012909",s,distance,"43.0",m,heart_rate,"97",bpm,altitude,"143.60000000000002",m,cadence,"56",rpm,speed,"1.5",m/s,temperature,"35",C,vertical_speed,"0.08",m/s,enhanced_altitude,"143.60000000000002",m,enhanced_speed,"1.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012910",s,distance,"45.0",m,heart_rate,"97",bpm,altitude,"143.79999999999995",m,cadence,"53",rpm,speed,"1.5",m/s,temperature,"35",C,vertical_speed,"0.1",m/s,enhanced_altitude,"143.79999999999995",m,enhanced_speed,"1.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012911",s,distance,"46.0",m,heart_rate,"96",bpm,altitude,"144.20000000000005",m,cadence,"55",rpm,speed,"1.5",m/s,temperature,"35",C,vertical_speed,"0.1",m/s,enhanced_altitude,"144.20000000000005",m,enhanced_speed,"1.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012912",s,distance,"48.0",m,heart_rate,"96",bpm,altitude,"144.20000000000005",m,cadence,"53",rpm,speed,"1.5",m/s,temperature,"35",C,vertical_speed,"0.1",m/s,enhanced_altitude,"144.20000000000005",m,enhanced_speed,"1.5",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012913",s,distance,"50.0",m,heart_rate,"96",bpm,altitude,"144.39999999999998",m,cadence,"53",rpm,speed,"1.52",m/s,temperature,"35",C,vertical_speed,"0.1",m/s,enhanced_altitude,"144.39999999999998",m,enhanced_speed,"1.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012914",s,distance,"51.0",m,heart_rate,"97",bpm,altitude,"144.60000000000002",m,cadence,"53",rpm,speed,"1.52",m/s,temperature,"35",C,vertical_speed,"0.1",m/s,enhanced_altitude,"144.60000000000002",m,enhanced_speed,"1.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012915",s,distance,"53.0",m,altitude,"144.79999999999995",m,cadence,"53",rpm,speed,"1.56",m/s,temperature,"35",C,vertical_speed,"0.12",m/s,enhanced_altitude,"144.79999999999995",m,enhanced_speed,"1.56",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012916",s,distance,"55.0",m,heart_rate,"100",bpm,altitude,"145.0",m,cadence,"53",rpm,speed,"1.56",m/s,temperature,"35",C,vertical_speed,"0.12",m/s,enhanced_altitude,"145.0",m,enhanced_speed,"1.56",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1059012917",s,distance,"57.0",m,altitude,"145.0",m,cadence,"53",rpm,speed,"1.62",m/s,temperature,"35",C,vertical_speed,"0.12",m/s,enhanced_altitude,"145.0",m,enhanced_speed,"1.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1059012918",s,distance,"59.0",m,heart_rate,"101",bpm,altitude,"145.39999999999998",m,cadence,"52",rpm,speed,"1.62",m/s,temperature,"35",C,vertical_speed,"0.12",m/s,enhanced_altitude,"145.39999999999998",m,enhanced_speed,"1.62",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
