Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,
Data,1,record,timestamp,"1061085941",s,distance,"89.0",m,heart_rate,"77",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.34",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.34",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085942",s,distance,"89.0",m,heart_rate,"78",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.3",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085943",s,distance,"92.0",m,heart_rate,"79",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.3",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085944",s,distance,"92.0",m,heart_rate,"79",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.3",m/s,temperature,"31",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085945",s,distance,"92.0",m,heart_rate,"78",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.3",m/s,temperature,"31",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1061085946",s,position_lat,"433063919",semicircles,position_long,"1671884090",semicircles,distance,"92.0",m,heart_rate,"80",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"31",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085947",s,distance,"92.0",m,heart_rate,"83",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"31",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085948",s,distance,"92.0",m,heart_rate,"84",bpm,altitude,"411.79999999999995",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"31",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085949",s,distance,"92.0",m,heart_rate,"84",bpm,altitude,"411.79999999999995",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085950",s,distance,"92.0",m,heart_rate,"85",bpm,altitude,"411.79999999999995",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085951",s,distance,"92.0",m,heart_rate,"87",bpm,altitude,"411.79999999999995",m,cadence,"51",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085952",s,distance,"92.0",m,heart_rate,"89",bpm,altitude,"411.79999999999995",m,cadence,"61",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085953",s,distance,"92.0",m,heart_rate,"90",bpm,altitude,"411.79999999999995",m,cadence,"61",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085955",s,distance,"95.0",m,heart_rate,"91",bpm,altitude,"412.0",m,cadence,"46",rpm,speed,"0.3",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.3",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085956",s,distance,"95.0",m,heart_rate,"91",bpm,altitude,"412.0",m,cadence,"46",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"1061085957",s,position_lat,"433063881",semicircles,position_long,"1671884396",semicircles,distance,"95.0",m,altitude,"412.0",m,cadence,"46",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085958",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.0",m,cadence,"43",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085959",s,distance,"95.0",m,altitude,"412.0",m,cadence,"43",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085960",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.0",m,cadence,"43",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085961",s,distance,"95.0",m,altitude,"412.0",m,cadence,"43",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085962",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.0",m,cadence,"43",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085963",s,distance,"95.0",m,altitude,"412.0",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085964",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.0",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085965",s,distance,"95.0",m,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085966",s,distance,"95.0",m,heart_rate,"91",bpm,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085967",s,distance,"95.0",m,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085968",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085969",s,distance,"95.0",m,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085970",s,distance,"95.0",m,heart_rate,"93",bpm,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085971",s,distance,"95.0",m,altitude,"412.4",m,cadence,"0",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"412.4",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085972",s,distance,"95.0",m,heart_rate,"92",bpm,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.92",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.92",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085973",s,distance,"95.0",m,altitude,"412.20000000000005",m,cadence,"0",rpm,speed,"0.92",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"412.20000000000005",m,enhanced_speed,"0.92",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085974",s,distance,"95.0",m,heart_rate,"91",bpm,altitude,"412.0",m,cadence,"0",rpm,speed,"0.52",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085975",s,distance,"95.0",m,altitude,"412.0",m,cadence,"0",rpm,speed,"0.52",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"412.0",m,enhanced_speed,"0.52",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085976",s,distance,"95.0",m,heart_rate,"93",bpm,altitude,"411.6",m,cadence,"0",rpm,speed,"0.36",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.36",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1061085977",s,distance,"95.0",m,altitude,"411.4",m,cadence,"0",rpm,speed,"0.36",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.36",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085978",s,distance,"95.0",m,heart_rate,"93",bpm,altitude,"411.4",m,cadence,"71",rpm,speed,"0.88",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.88",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085979",s,distance,"95.0",m,heart_rate,"93",bpm,altitude,"411.0",m,cadence,"68",rpm,speed,"0.88",m/s,temperature,"32",C,vertical_speed,"0.02",m/s,enhanced_altitude,"411.0",m,enhanced_speed,"0.88",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085980",s,distance,"95.0",m,heart_rate,"94",bpm,altitude,"411.0",m,cadence,"52",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085981",s,distance,"95.0",m,heart_rate,"93",bpm,altitude,"411.0",m,cadence,"55",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085982",s,distance,"95.0",m,heart_rate,"94",bpm,altitude,"411.0",m,cadence,"55",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.0",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085983",s,distance,"95.0",m,heart_rate,"95",bpm,altitude,"411.20000000000005",m,cadence,"55",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.20000000000005",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085984",s,distance,"95.0",m,heart_rate,"95",bpm,altitude,"411.4",m,cadence,"51",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"0.0",m/s,enhanced_altitude,"411.4",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085985",s,distance,"95.0",m,heart_rate,"96",bpm,altitude,"411.6",m,cadence,"51",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.6",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085986",s,distance,"95.0",m,heart_rate,"97",bpm,altitude,"411.79999999999995",m,cadence,"51",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"411.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085987",s,distance,"95.0",m,heart_rate,"97",bpm,altitude,"412.6",m,cadence,"51",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.04",m/s,enhanced_altitude,"412.6",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1061085988",s,distance,"95.0",m,heart_rate,"99",bpm,altitude,"412.6",m,cadence,"50",rpm,speed,"0.0",m/s,temperature,"32",C,vertical_speed,"-0.02",m/s,enhanced_altitude,"412.6",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
